Name,Age,EmailAddress
Henry,Fowobaje,fowobaje2005@gmail.com
Henry,David,henrybusiness987@gmail.com
Collins,Ikpeyi,CIkpeyi05@my.fisk.edu
Joshua,Amosu,JOAmosu21@my.fisk.edu
Chukwuanogo,Obiaga,CPObiaga27@my.fisk.edu
Shalom,Akinbulomo,SOAkinbulomo07@my.fisk.edu
Oluwatamilore,Oladejo,OPOladejo21@my.fisk.edu
Henry,David,henrybusiness987@gmail.com
Nwankwo,Prosper,PCNwankwo24@my.fisk.edu
Ikechi,Africs,IMAfrics15@my.fisk.edu
Feyisayo,Adeaga,FAAdeaga07@my.fisk.edu
Henry,David,CEUba20@my.fisk.edu
Foluso,Adeyemi,FVAdeyemi05@my.fisk.edu
Elijah,Okoroh,EOOkoroh08@my.fisk.edu
Philip,Fowobaje,PAOlapade@my.fisk.edu
Angel,Adetula,AAAdetula11@my.fisk.edu
Camari,Nwokorie,CRNwokorie10@my.fisk.edu
Elijah,Okoroh,EOOkoroh08@my.fisk.edu
Wisdom,Dayok,WODayok11@my.fisk.edu
Omayorkun,Oyefeso,OTOyefeso10@my.fisk.edu
Emmanuel,Adeyemi,eiadeyemi05@my.fisk.edu
Kelechi,Nnorom,kcnnorom20@my.fisk.edu
Amarachuckwu,Iyke-Osuji,aosuji31@my.fisk.edu
Oluwalayomi,Fadero,otfadero09@my.fisk.edu
Jowayne,Hudson,jmhudson29@my.fisk.edu
Ayomide,Adewale,ajadewale27@my.fisk.edu
Chibuikem,Iheagwaram,csiheagwaram10@my.fisk.edu
Dinesh,Pandey,dpandey08@my.fisk.edu
Rejin,Nepal,rnepal30@my.fisk.edu
Mariam,Olagoke,mmolagoke04@my.fisk.edu
Onyinye,Ejiaka,ofejiaka04@my.fisk.edu
Aderinsola,Oladunmade,aaoladunmade13@my.fisk.edu
Hephzibah,Agunbiade,haagunbiade10@my.fisk.edu
Akwesi,Peasare,aopeasare01@my.fisk.edu
Sopuruchi,Ndubuisi,sundubuisi08@my.fisk.edu
Awantika,Bastola,abastola21@my.fisk.edu
Bethel,Arthur,barthur28@my.fisk.edu
Chinaza,Belolisa,csbelolisa09@my.fisk.edu
Ann,Ebhonu,aeebhounu08@my.fisk.edu
Benzema,Kelechi,fowobaje2005@gmail.com
Karim,Adeyemi,henrybusiness987@gmail.com
Robert,Luiz,CIkpeyi05@my.fisk.edu
Okafor,David,JOAmosu21@my.fisk.edu
King,Kingdom,CPObiaga27@my.fisk.edu
Mike,Fola,SOAkinbulomo07@my.fisk.edu
Buhari,Ahmed,OPOladejo21@my.fisk.edu
Musa,Moses,henrybusiness987@gmail.com
Victor,Osihmen,PCNwankwo24@my.fisk.edu
Fekomi,Davies,IMAfrics15@my.fisk.edu
Henry,Timothy,FAAdeaga07@my.fisk.edu
Oriyomi,Joshua,CEUba20@my.fisk.edu
Thor,Maddison,FVAdeyemi05@my.fisk.edu
James,Olamide,EOOkoroh08@my.fisk.edu
Jamie,Carragher,PAOlapade@my.fisk.edu
Israel,Aminu,AAAdetula11@my.fisk.edu
Kazeem,love,CRNwokorie10@my.fisk.edu
Takehiro,Tomiyasu,EOOkoroh08@my.fisk.edu
Jordi,Alba,WODayok11@my.fisk.edu
Matt,Telles,OTOyefeso10@my.fisk.edu
Tierney,Kieran,eiadeyemi05@my.fisk.edu
Leon,Frank,kcnnorom20@my.fisk.edu
Ruben,Allan,aosuji31@my.fisk.edu
Lahm,Ali,otfadero09@my.fisk.edu
Duncan,Tim,jmhudson29@my.fisk.edu
Lebron,Pulisic,ajadewale27@my.fisk.edu
Stephen,Woods,csiheagwaram10@my.fisk.edu
Bush,Obama,dpandey08@my.fisk.edu
Tiger,Mark,rnepal30@my.fisk.edu
Scottie,Barnes,mmolagoke04@my.fisk.edu
Cade,Brown,ofejiaka04@my.fisk.edu
Jalen,Green,aaoladunmade13@my.fisk.edu
Benjamin,Kent,haagunbiade10@my.fisk.edu
Franz,Wagner,aopeasare01@my.fisk.edu
Thomas,Partey,sundubuisi08@my.fisk.edu
Xhaka,Bellerin,abastola21@my.fisk.edu
Odegaard,Martinelli,barthur28@my.fisk.edu
Kante,Rudiger,csbelolisa09@my.fisk.edu
George,Bullis,aeebhounu08@my.fisk.edu
Irena,Bryant,fowobaje2005@gmail.com
Chisom,Okwor,henrybusiness987@gmail.com
Sonia,Okekenwa,CIkpeyi05@my.fisk.edu
Dimowo,Oiza,JOAmosu21@my.fisk.edu
Chidera,Apakama,CPObiaga27@my.fisk.edu
Timothy,Mazenge,SOAkinbulomo07@my.fisk.edu
Jeremy,Filler,OPOladejo21@my.fisk.edu
Waya,David,henrybusiness987@gmail.com
Foller,Peter,PCNwankwo24@my.fisk.edu
Wyoming,Wallace,IMAfrics15@my.fisk.edu
Hota,Haque,FAAdeaga07@my.fisk.edu
